    X           Y            F606W      F814W
   6486.5500   4147.5600     24.2169     21.1401
   6562.1700   4148.1800     25.7785     22.6115
   3133.9000   4149.0700     25.1397     22.1370
   4717.8700   4148.7700     26.9362     23.4845
   6229.6700   4148.5700     26.6731     23.2515
   6270.7400   4149.2800     26.3547     23.2671
   4260.5100   4150.0800     25.0398     21.8298
   5229.4100   4149.7800     26.6328     23.3532
   5806.1400   4149.6100     32.6866     22.7077
   4587.0800   4150.8000     25.4958     22.2777
   5336.6400   4150.5300     24.4256     21.3431
   5424.2500   4150.6500     26.0777     23.0280
   6249.4200   4151.1900     26.0376     23.1445
   7483.6100   4150.5700     24.4483     21.5383
   4100.4300   4152.4600     25.8501     22.6444
   4694.2100   4151.8600     24.5464     21.4113
   5651.7500   4152.3700     25.7456     23.0018
   6166.1100   4151.9300     25.3629     22.6554
   4886.3900   4153.1100     26.5794     23.6146
   5448.8800   4152.8300     25.6102     22.6078
   5526.4300   4153.9400     25.1945     22.2380
   6391.0900   4155.3200     25.6466     22.6331
   2681.5900   4156.1000     26.2885     23.1529
   3823.4000   4156.0500     25.8399     22.5142
   5844.4400   4155.9400     23.6339     20.6008
   6602.9600   4155.6300     24.5632     21.7617
   4008.4700   4157.4500     25.6746     22.7432
   4847.7000   4157.0500     25.5976     22.4955
   5208.9600   4157.1100     26.2996     23.0570
   6526.9000   4156.5300     24.2438     21.4101
   6812.4800   4156.6100     24.9068     22.1160
   5297.8900   4158.0500     26.6937     23.2541
   5567.6000   4157.7100     25.6736     22.8017
   6242.0600   4157.6400     24.4678     21.6563
   6709.7100   4158.3800     20.6535     17.5886
   7402.1100   4157.5800     26.2990     23.6777
   5496.6700   4158.7700     26.1149     23.3048
   6276.4000   4159.0200     22.4576     19.4555
   7108.8500   4159.0600     26.0858     23.3946
   7384.7300   4159.0500     24.8298     22.0583
   6151.3500   4160.0700     26.5260     23.7368
   6902.4100   4159.9700     24.7773     21.9347
   7489.5700   4160.3900     25.3009     22.5591
   3357.2200   4160.6300     25.2311     22.2852
   3507.0400   4160.6100     25.0781     22.2890
   5617.7400   4160.8400     27.2751     23.7810
   6054.5800   4160.5700     24.7096     21.6506
   6488.3300   4160.8200     26.2507     23.5871
   7093.2700   4161.0200     21.4762     18.4086
   3743.2000   4161.8600     26.9087     23.3108
   5157.9200   4161.7600     26.5303     23.3220
   6435.2200   4161.5600     24.9997     21.9620
   4079.6400   4163.0400     25.3689     22.3820
   4571.5300   4162.5900     26.9070     23.5701
   6070.3200   4163.1000     24.9053     22.0266
   7542.8800   4162.5200     24.2168     21.4869
   5603.7200   4163.9500     26.2451     23.1422
   6115.0400   4163.9200     24.8468     22.1111
   6634.3300   4164.2500     25.7634     22.6676
   6871.6000   4164.0200     22.5535     23.6188
   7188.4700   4163.5100     23.6908     20.9231
   3551.7900   4164.9600     26.2897     23.2038
   4997.5500   4165.2500     26.2364     23.2149
   5006.4000   4166.2200     27.1231     23.1197
   5671.7500   4166.0300     26.3177     23.2952
   5984.4500   4165.4300     27.0143     23.6866
   6208.1300   4166.4500     24.3183     21.4092
   6860.8800   4166.1000     26.2820     23.3895
   5356.4000   4166.9000     26.2297     23.3791
   6259.6700   4166.6400     27.5629     23.4780
   7312.0100   4167.3900     32.6866     23.9079
   7400.2300   4167.2800     26.6114     23.5239
